==11941== NVPROF is profiling process 11941, command: ./GPU_TILE 10 10
==11941== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11941== Profiling application: ./GPU_TILE 10 10
==11941== Profiling result:
==11941== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K40m (0)"
    Kernel: GPU(int, int, int, int*, int, int, int, int, int*, int*)
        256                         nc_gld_throughput            Non-Coherent Global Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        256                         nc_gld_efficiency                   Non-Coherent Global Load Efficiency       0.00%       0.00%       0.00%
        256                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
        256                                inst_fp_32                               FP Instructions(Single)           0           0           0
        256                                inst_fp_64                               FP Instructions(Double)           0           0           0
        256                              inst_integer                                  Integer Instructions      283248      283473      283363
        256                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
        256                              inst_control                             Control-Flow Instructions       41487       41712       41596
        256                        inst_compute_ld_st                               Load/Store Instructions       59168       59618       59398
        256                                 inst_misc                                     Misc Instructions       62304       62304       62304
        256           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
        256                    atomic_replay_overhead                                Atomic Replay Overhead    0.000000    0.000000    0.000000
        256                       atomic_transactions                                   Atomic Transactions           0           0           0
        256           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
        256                   sysmem_read_utilization                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
        256                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
        256                   l2_l1_read_transactions               L2 Read Transactions (L1 read requests)        2344        2344        2344
        256                  l2_l1_write_transactions             L2 Write Transactions (L1 write requests)        1152        1152        1152
        256                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)           0           0           0
        256                    l2_l1_write_throughput                             L2 Throughput (L1 Writes)  256.16MB/s  285.99MB/s  261.31MB/s
        256                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
        256                          ecc_transactions                                      ECC Transactions         276         715         552
        256                            ecc_throughput                                        ECC Throughput  68.044MB/s  159.77MB/s  124.93MB/s
        256                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
        256          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.43%       0.76%       0.45%
        256                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
        256                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
        256                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.40%       0.46%       0.41%
        256                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.00%       0.00%       0.00%
        256                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.108442    0.121859    0.111304
        256                         atomic_throughput                                     Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
